instance;Gurobi;GA beta;GA zr;GA zrt;LS beta;LS zr;LS zrt
j12018_6;0;1547.760254;1532.166626;1553.504517;1511.004517;1524.760254;1397.389771
j12018_7;0;2220.156006;2230.236328;2231.236328;2204.656006;2185.537354;2128.17627
j12018_8;0;2067.959229;2065.959229;2073.727051;2071.959229;2064.227051;2064.459229
j12018_9;0;1853.046387;1853.546387;1862.046387;1851.546387;1830.392578;1720.97937
j12019_1;1900.603149;1918;1918;1918;1918;1918;1918
j12019_10;1696;1696;1696;1696;1696;1696;1696
j12019_2;1868;1966.604492;1965.604492;1968.104492;1943.917725;1944.417725;1952.417725
j12019_3;878.776855;1345.266479;1340.266479;1343.266479;1333.766479;1337.491699;910.448364
j12019_4;0;1395.067261;1404.567261;1405.407837;1368.794189;1379.294189;1296.683472
j12019_5;0;1638.214966;1644.270996;1661.770996;1609.175903;1618.214966;1592.648438
j12019_6;0;1732.493286;1733.993286;1727.993286;1719.993286;1735.993286;1271.940063
j12019_7;1692.5;1698.5;1698.5;1698.5;1698.5;1698.5;1698.5
j12019_8;0;2024.375366;2025;2024;2020.375366;2022.875366;2007.501343
j12019_9;0;1387.96875;1385.96875;1382.46875;1389.96875;1383.96875;1369.982422
j1201_1;0;512.125;506.777771;511.277771;506.611084;511.277771;482.902771
j1201_10;0;559.250305;558.739929;560.750305;558.845459;558.750305;550.930237
j1201_2;0;460.182098;454.443085;460.182098;385.75;450.182098;365.228394
j1201_3;0;495.235535;492.383362;496.952271;488.028931;496.235535;456.777313
j1201_4;0;508.955444;504.455444;510.271729;493.149719;506.771729;487.085449
j1201_5;0;488.960022;484.738434;494.460022;477.77594;482.738434;440.339996
j1201_6;0;423.934692;420.795929;425.295929;400.200012;423.795929;393.040802
j1201_7;0;324.108154;325.048004;325.548004;283.970428;323.608154;292.618347
j1201_8;0;449.401245;443.631165;447.563965;418.170135;443.131165;404.755798
j1201_9;0;471.651764;468.604797;475.151764;433.378723;471.038635;434.2659
j12020_1;1237.5;1252;1252;1252;1229.742188;1249.5;1246.435547
j12020_10;1456;1456;1456;1456;1456;1456;1456
j12020_2;952;952;952;952;952;952;952
j12020_3;0;1434.408203;1432.908203;1427.908203;1430.408203;1426.908203;1421.408203
j12020_4;1174;1174;1174;1174;1174;1174;1174
j12020_5;1157;1157;1157;1157;1157;1157;1157
j12020_6;1301;1301;1301;1301;1301;1301;1301
j12020_7;1132;1132;1132;1132;1132;1132;1132
j12020_8;0;884.689331;884.689331;884.689331;884.189331;884.689331;880.257385
j12020_9;1184.5;1184.5;1184.5;1184.5;1184.5;1184.5;1184.5
j12021_1;0;503.947693;502.12207;503.12207;468.112427;496.875732;499.375732
j12021_10;0;473.645416;465.645416;466.049896;446.237244;466.651917;463.591827
j12021_2;0;394.566254;382.893738;388.809906;357.739594;385.893738;300.07489
j12021_3;0;424.73761;426.043732;422.31778;348.409607;431.543732;246.450439
j12021_4;0;537.85199;534.35199;536.87085;536.959473;546.87085;518.908081
j12021_5;0;348.401672;347.473389;349.401672;348.401672;348.973389;347.02002
j12021_6;0;497.04187;492.126282;491.987549;484.005219;489.505219;474.571289
j12021_7;0;444.894714;450.107422;440.333557;405.138336;432.087921;384.283813
j12021_8;0;401.021912;398.21402;400.21402;383.842957;391.842957;358.948151
j12021_9;0;439.906525;435.009277;435.405396;385.126068;431.007019;428.405396
j12022_1;0;471.200623;467.700623;473.200623;428.630188;457.104462;430.130188
j12022_10;304.465363;304.465363;303.616333;301.547089;295.547089;300.361481;301.547089
j12022_2;387.5;386.472656;384.472656;386.5;377.253906;383.472656;349.316406
j12022_3;0;362.195587;363.195587;364.766937;347.4245;350.024384;343.315094
j12022_4;0;354.357147;352.357147;347.857147;342.912689;344.912689;303.214294
j12022_5;437;438.236969;438.736969;438.736969;438.236969;435.947906;420.424469
j12022_6;0;320.971893;318.237305;313.265442;304.887512;315.471893;296.388885
j12022_7;250.649292;250.649292;250.649292;250.649292;250.649292;250.649292;250.649292
j12022_8;0;471.570007;466.980011;473.980011;456.829987;477.070007;443
j12022_9;0;362.597626;361.984467;362.984467;337.598938;362.436218;361.049561
j12023_1;289;289;289;289;289;289;289
j12023_10;343;343;343;343;343;343;343
j12023_2;216;216;216;216;216;216;216
j12023_3;175;175;175;175;175;175;175
j12023_4;202.5;202.5;202.5;202.5;202.5;202.5;202.5
j12023_5;213.531754;213.531754;212.031754;213.531754;213.031754;213.531754;211.571426
